gvkey,datadate,tic,AP,AT,BV,COGS,EMP,IBE,OCF,PPE,REC,SALE,XOPR,MV,2_digit_sic
29722,20161231,DSPG,12.541,185.945,145.547,75.319,0.333,4.813,16.515,27.177,19.834,137.869,133.477,286.1996,36
29724,20121231,IFN,,,,,,,,,,,,,67
29724,20131231,IFN,,,,,,,,,,,,,67
29724,20141231,IFN,,,,,,,,,,,,,67
29724,20151231,IFN,,,,,,,,,,,,,67
29724,20161231,IFN,,,,,,,,,,,,,67
29733,20121231,MLM,83.537,3160.926,1410.545,1536.218,4.948,84.91,222.689,3812.587,224.05,2037.667,1670.731,4337.0686,14
29733,20131231,MLM,103.6,3259.826,1537.877,1619.674,5.036,122.086,308.951,3976.884,245.421,2155.551,1769.765,4623.3243,14
29733,20141231,MLM,202.476,7464.392,4351.166,2203.938,7.193,155.638,381.658,5691.676,421.001,2957.951,2373.183,7423.7638,14
29733,20151231,MLM,164.718,6961.732,4057.284,2556.967,7.3,288.792,573.151,5613.198,410.921,3539.57,2775.201,8806.5418,14
29733,20161231,MLM,178.598,7300.905,4139.978,2626.926,8.111,425.386,678.654,6115.53,457.91,3818.749,2874.931,13995.3793,14
29734,20121231,MINI,18.287,1727.56,809.519,243.111,1.546,34.178,90.949,1337.85,50.644,381.259,243.111,959.8046,73
29734,20131231,MINI,18.862,1677.374,855.544,262.976,1.538,25.224,116.111,1296.613,53.104,406.486,262.976,1920.0587,73
29734,20141231,MINI,22.933,2103.174,854.531,297.822,1.921,44.386,120.625,1449.14,81.031,445.474,297.822,1869.8201,73
29734,20151231,MINI,29.086,1979.222,765.529,342.401,1.982,5.574,152.814,1301.739,80.191,529.601,342.401,1388.2112,73
29734,20161231,MINI,27.388,2004.894,735.614,324.958,1.998,47.248,136.244,1355.819,99.175,508.403,324.958,1339.9238,73
29736,20121231,TSCO,320.392,1706.808,1024.974,3098.066,17.3,276.457,378.302,1069.177,0,4664.12,4138.353,6141.3734,52
29736,20131231,TSCO,316.487,1903.391,1246.894,3411.175,19.2,328.234,333.681,1268.843,0,5164.784,4550.109,10834.3573,52
29736,20141231,TSCO,370.823,2034.571,1293.561,3761.3,21.1,370.885,409.178,1417.346,0,5711.715,5007.608,10749.6292,52
29736,20151231,TSCO,427.249,2370.826,1393.294,4083.333,23,410.395,429.18,1643.916,3.763,6226.507,5452.43,11476.152,52
29736,20161231,TSCO,519.522,2674.942,1453.218,4454.377,26,437.12,639.04,1873.865,3.68,6779.579,5942.541,9915.569,52
29744,20121231,IIF,,,,,,,,,,,,,67
29744,20131231,IIF,,,,,,,,,,,,,67
29744,20141231,IIF,,,,,,,,,,,,,67
29744,20151231,IIF,,,,,,,,,,,,,67
29744,20161231,IIF,,,,,,,,,,,,,67
29746,20121231,LMSC,3.297,12.148,-2.706,8.389,,-0.468,-4.084,5.146,3.658,13.251,16.792,2.4185,99
29751,20121231,ALB,172.866,3437.291,1833.598,1736.405,4.304,311.536,488.766,2818.604,449.025,2745.42,2128.651,5522.4059,28
29751,20131231,ALB,194.064,3584.797,1627.361,1647.641,4.231,413.171,432.859,2972.084,518.268,2616.416,1892.776,5074.5597,28
29751,20141231,ALB,231.705,5223.103,1359.465,1571.128,3.625,202.847,492.609,2620.67,457.472,2445.548,2014.573,4692.004,28
29751,20151231,ALB,306.517,9615.014,3254.392,2120.527,6.963,334.906,360.689,3881.162,656.445,3651.335,2738.266,6285.3862,28
29751,20161231,ALB,281.874,8161.207,3795.062,1508.827,5,441.544,733.403,3910.522,543.105,2677.203,1967.466,9686.0659,28
29755,20130930,BZH,83.8,1986.789,240.55,1073.447,0.878,-32.164,-174.642,62.334,25.155,1287.577,1247.532,454.428,15
29755,20140930,BZH,106.237,2066.22,279.118,1195.37,1.027,34.923,-160.469,59.413,34.475,1463.767,1389.861,455.9629,15
29755,20150930,BZH,113.539,2421.203,630.423,1341.387,1.063,346.599,-81.049,58.616,52.798,1627.413,1548.906,435.3711,15
29755,20160930,BZH,104.174,2213.158,642.853,1544.019,1.1,5.205,163.025,58.678,53.518,1822.114,1768.107,385.6079,15
